epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7319,3.35915,4.60153,2.3772,0.00161,0.12,0.0105,0.00179,3.38508,4.84442,2.36233,3.75e-05,3.75e-05,3.75e-05
2,132.889,3.00538,4.33011,2.11421,0.00222,0.18,0.10443,0.04175,2.6017,4.19166,1.8309,8.57675e-05,8.57675e-05,8.57675e-05
3,199.581,2.4969,4.01906,1.74344,0.0021,0.23125,0.13814,0.05679,2.40008,4.06101,1.58267,0.000132055,0.000132055,0.000132055
4,282.447,2.07153,3.62534,1.51985,0.00339,0.41708,0.19284,0.07123,2.02797,3.858,1.4118,0.000176362,0.000176362,0.000176362
5,360.074,2.01014,3.22864,1.44306,0.00628,0.60292,0.23907,0.1226,1.74456,3.62677,1.30348,0.00021869,0.00021869,0.00021869
6,444.943,1.82609,2.81405,1.32641,0.00806,0.75875,0.33956,0.15254,1.70352,3.33719,1.18952,0.000259038,0.000259038,0.000259038
7,520.48,1.74191,2.66939,1.29185,0.01276,0.8675,0.45245,0.19344,1.7028,3.24002,1.2057,0.000297405,0.000297405,0.000297405
8,618.708,1.65944,2.48684,1.23269,0.01065,0.8275,0.47326,0.19395,1.72614,3.30159,1.25454,0.000333792,0.000333792,0.000333792
9,680.217,1.51604,2.32087,1.19384,0.0075,0.66583,0.40916,0.19431,1.93786,3.31231,1.35251,0.0003682,0.0003682,0.0003682
10,757.519,1.51276,2.2384,1.17681,0.57395,0.45617,0.43249,0.24334,1.69295,3.20667,1.29903,0.000400628,0.000400628,0.000400628
11,847.622,1.47328,2.11355,1.15745,0.93457,0.08485,0.35007,0.19738,1.52515,3.26022,1.27683,0.000431075,0.000431075,0.000431075
12,936.963,1.4901,1.95762,1.13034,0.72742,0.16125,0.27415,0.14967,1.79747,3.3062,1.3582,0.000459543,0.000459543,0.000459543
13,1014.18,1.42237,1.80761,1.12543,0.80407,0.22463,0.31152,0.14426,1.89569,3.25415,1.38583,0.00048603,0.00048603,0.00048603
14,1069.37,1.36446,1.8474,1.09799,0.91176,0.24904,0.44728,0.20468,1.81859,3.08976,1.37637,0.000510537,0.000510537,0.000510537
15,1127.43,1.31471,1.66989,1.09543,0.92811,0.31945,0.73326,0.33712,1.73455,2.77496,1.32045,0.000533065,0.000533065,0.000533065
16,1180.42,1.32983,1.58971,1.10018,0.77807,0.34825,0.66483,0.34376,1.67028,2.7846,1.28144,0.000553613,0.000553613,0.000553613
17,1240.71,1.25908,1.60462,1.10125,0.71854,0.37579,0.69867,0.39466,1.54308,2.75396,1.23003,0.00057218,0.00057218,0.00057218
